id,領域,題型,難度,題目,圖片網址,A,B,C,D,正解,刪除選項優先,結論,詳解,冷知識,主持人口白,出處,狀態
L11,法律,🌐 比較法大觀園,1,美國憲法沒有明文規定「法院可宣告法律違憲」，這制度是哪個判決確立的？,,Miranda案,Brown案,Marbury案,Roe案,C,D,Marbury案確立司法審查制度,1803年美國最高法院於Marbury v. Madison案中，首席大法官馬歇爾主張法院有權審查國會立法是否違憲，從此確立「司法審查」制度，成為美國違憲審查起點。,,一個原本只是官員任命糾紛的小案子，結果變成憲法課本第一章。,"Marbury v. Madison, 5 U.S. 137 (1803)；美國國家檔案局公開歷史記載",上架
L12,法律,🌐 比較法大觀園,2,警察逮捕人時要先告知「有權保持沉默、有權請律師」，出自哪個美國案例？,,Gideon案,Terry案,Mapp案,Miranda案,D,A,Miranda案確立警詢告知義務,1966年美國最高法院於Miranda v. Arizona案判決，警察偵訊拘留中的嫌疑人前必須告知其保持沉默與委任律師等權利，否則取得的自白可能不能作為證據。,,美國警匪片台詞背得比我們的刑事訴訟法還熟練，就是這個案子的功勞。,"Miranda v. Arizona, 384 U.S. 436 (1966)；美國國家憲法中心公開資料",上架
L13,法律,🌐 比較法大觀園,3,德國基本法規定，即使修憲也不能修改聯邦制、人權保障等核心內容，這種條款稱為什麼？,,永久條款,落日條款,過渡條款,授權條款,A,C,基本法第79條3項是永久條款,德國基本法第79條第3項規定，涉及聯邦組成、人權保障及民主法治國原則等核心內容，修憲程序也不得變更，德文稱Ewigkeitsklausel，用以防止重演威瑪憲法被合法架空的歷史。,,德國人被威瑪共和的教訓嚇怕了，直接把幾條規定寫成「修憲都不能碰」。,德國基本法（Grundgesetz）第79條第3項；公開憲法文獻,上架
L14,法律,🌐 比較法大觀園,4,英國長期由議會行使終審權，直到哪一年才第一次成立獨立的「最高法院」？,,1949年,2009年,1972年,2016年,B,D,英國最高法院於2009年才正式成立,英國原本終審權由上議院的司法委員會行使，直到2009年英國最高法院才正式成立並取代其職能，讓司法權與立法權更明確分離，比很多人想像的晚得多。,,所以英國的「最高法院」其實比智慧型手機還年輕。,Constitutional Reform Act 2005；英國國會官方網站,上架
L15,法律,🌐 比較法大觀園,5,美國最高法院Texas v. Johnson案認定下列哪種行為受言論自由保障、不能被定罪？,,在國會發表煽動性演說,出版誹謗性文章,焚燒美國國旗抗議,拒絕在法庭上宣誓,C,D,焚燒國旗屬於受保障的象徵性言論,1989年美國最高法院於Texas v. Johnson案以五比四認定焚燒國旗是受憲法第一修正案保障的「象徵性言論」，政府不能單純因表達內容處罰，此判決引發長期爭議。,,連國旗都能燒還算言論自由，這大概是言論自由最硬核的考驗了。,"Texas v. Johnson, 491 U.S. 397 (1989)；美國國家憲法中心公開資料",上架
L16,法律,🕰️ 法制史與法律人軼事,1,現行《民法》從1929年公布施行到現在，下列說法正確的是？,,台灣曾整部重新立法一次,民法每十年整部換一次,2000年後才第一次公布,只靠歷次修正未重新立法,D,C,民法沿用至今靠修正,中華民國民法在1929至1931年間分編公布施行，之後即使歷經無數次修正（包括近年下修成年年齡），都是採「修正部分條文」方式，沒有另立新法典取代它。,,這部法典比在場很多人的爺爺都還老，卻還要應付AI時代的糾紛。,民法歷次修正沿革；全國法規資料庫民法沿革頁,上架
L17,法律,🕰️ 法制史與法律人軼事,2,台灣曾有《違警罰法》讓警察機關自行裁決「拘留」，後來被大法官認定違反什麼？,,違反人身自由應由法院決定,違反地方自治精神,違反罪刑法定原則,沒有違憲只是被廢止,A,D,拘留應改由法院依法定程序決定,釋字第166號、第251號解釋先後認定，違警罰法由警察機關自行裁決拘留、罰役等處分，涉及人民身體自由，應改由法院依法定程序為之，後促成改立社會秩序維護法。,,警察局曾經可以自己關人自己放人，現在聽起來很不可思議吧。,司法院釋字第166號、第251號,上架
L18,法律,🕰️ 法制史與法律人軼事,3,中華民國《憲法》從1947年施行至今，憲法「本文」被正式修改過幾次？,,每次總統改選就修一次,0次，只靠增修條文調整,3次,7次,B,A,憲法本文從未被修改，只以增修條文調整,中華民國憲法本文自1947年施行以來從未直接修改，歷次修憲都是另外制定「憲法增修條文」附加於本文之後、優先適用，藉此保留憲法本文的歷史文字完整性。,,憲法本文像是被供起來的老照片，真正在動刀的都是後面貼的增修條文。,中華民國憲法增修條文沿革；總統府網站公開資料,上架
L19,法律,🕰️ 法制史與法律人軼事,4,參與中華民國憲法起草的法學家王寵惠，還有一項特殊的國際法資歷是什麼？,,曾任聯合國秘書長,曾獲諾貝爾和平獎,曾任海牙常設國際法院法官,曾任國際奧會主席,C,A,王寵惠曾任海牙常設國際法院法官,法學家王寵惠不僅參與中華民國憲法起草，也曾兩度出任海牙常設國際法院法官（1923年、1932年），是當時罕見具有國際司法資歷的華人法律人，這段經歷較少被提及。,,憲法課本只教他起草憲法，沒教他其實在海牙上過國際法院的班。,維基百科「王寵惠」條目；國史館等公開歷史記載,上架
L20,法律,🕰️ 法制史與法律人軼事,5,法學教育常說的「六法全書」，其中「六法」原本指哪六種法典？,,憲、民、刑、行政、國際、稅,憲、民、刑、勞動、環境、商法,民、刑、行政、憲、國公、國私,憲、民、商、刑、民訴、刑訴,D,B,「六法」原指憲、民、商、刑及兩部訴訟法,「六法全書」源自近代法制引進西方法典時的分類方式，原始「六法」指憲法、民法、商法、刑法、民事訴訟法、刑事訴訟法，即使商法後來拆解為公司法等特別法，書名仍沿用下來。,,下次講「六法全書」，記得裡面藏著一部早就名存實亡的商法。,六法用語源自近代法制引進法國法典分類；公開法制史常識,上架
L21,法律,🏛️ 法界圈內梗,1,法庭開庭時，審判長進入法庭或宣示判決時，在庭的人一定要做什麼動作？,,起立,鞠躬,敬禮,沒有強制規定看個人習慣,A,D,審判長蒞庭及宣判時，在庭之人應起立,法院組織法第84條明文規定，審判長蒞庭及宣示判決時，在庭之人均應起立，這不只是法庭禮儀習慣，而是寫在法律裡的正式規定。,,原來大家看到法官站起來，不是自發性尊敬，是法律逼你站的。,法院組織法第84條,上架
L22,法律,🏛️ 法界圈內梗,2,法律用語裡的「假扣押」、「假處分」，這個「假」字是什麼意思？,,代替本人行使的意思,暫定、臨時性質,假的、不是真的,專指刑事案件,B,C,「假」在這裡是「暫定」的意思，不是真假,民事訴訟法第522條假扣押、第538條假處分，「假」字是沿用早期法律用語習慣，表示「暫時、先行」的處分，用來保全將來執行或維持現狀，跟口語「假的」無關。,,難怪很多人第一次聽到「假扣押」還以為法院在開玩笑。,民事訴訟法第522條、第538條,上架
L23,法律,🏛️ 法界圈內梗,3,如果寄給法院的訴狀格式完全不符合司法院訂的書狀規則，法院可以怎麼處理？,,一定要受理只能建議修改,直接視為敗訴,可以拒絕你提出這份書狀,轉交警察機關處理,C,D,不符司法院書狀規則的文件，法院可拒絕提出,民事訴訟法第116條規定，書狀的格式、記載方法及效力規則由司法院訂定，若沒有依規則書寫，法院可以拒絕該書狀提出，並不是隨便寫寫都會被收下來。,,格式沒排好，可能連進場資格都沒有，別小看那份規則。,民事訴訟法第116條,上架
L24,法律,🏛️ 法界圈內梗,4,證人在法庭上作證，下列哪種人依法「不得」命其具結？,,曾經有前科的人,律師本人,檢察官本人,未滿16歲的證人,D,A,未滿16歲證人不得具結,刑事訴訟法第186條規定，證人未滿16歲，或因精神或其他心智障礙致不解具結意義及效果者，不得命其具結，但不代表他們不能作證，只是跳過宣誓程序。,,具結不是萬能通行證，有些證人天生就跳過這一關。,刑事訴訟法第186條,上架
L25,法律,🏛️ 法界圈內梗,5,哪種犯罪即使過了刑法規定的30年追訴權時效，檢察官仍可繼續追訴、不會消滅？,,故意殺人致死等重罪,詐欺罪,竊盜罪,公然侮辱罪,A,D,致死重罪追訴權不會消滅,刑法第80條規定，最重本刑死刑、無期徒刑或十年以上有期徒刑之罪，追訴權原則30年內未起訴會消滅，但若發生死亡結果就不受此限制，等於沒有追訴期。,,以為時間可以洗掉一切的人，可能要重新認識一下刑法第80條。,中華民國刑法第80條,上架
K01,知識,🧪 自然與科學冷知識,1,章魚有幾顆心臟？,,1顆,3顆,2顆,8顆（一腳一顆）,B,D,章魚有3顆心臟,章魚有3顆心臟，2顆負責把血液送到鰓，1顆送到全身。牠的血液是藍色的，因為運送氧氣的是含銅的血藍蛋白，不是血紅素。,,選D的朋友想像力很豐富，可惜章魚沒有那麼浪漫。,維基百科「章魚」條目；一般海洋生物學常識,上架
K02,知識,🧪 自然與科學冷知識,2,人的哪個部位終其一生都在持續變大？,,骨頭,眼球,鼻子和耳朵,牙齒,C,D,鼻子和耳朵的軟骨終身持續生長,鼻子和耳朵主要由軟骨組成，其中的膠原蛋白會隨年齡流失、組織逐漸鬆弛下垂，這也是為什麼年長者的鼻子和耳朵往往看起來比年輕時更大一點。,,照片對比一下年輕時和現在，你會發現鼻子悄悄長大了。,一般解剖學常識（軟骨持續生長現象）,上架
K03,知識,🧪 自然與科學冷知識,3,香蕉樹在植物分類上其實是什麼？,,一種特殊的灌木,竹子的近親,沒有根系的寄生植物,世界上最大的草本植物,D,C,香蕉樹其實是巨型草本植物,香蕉的「樹幹」其實是層層葉片包捲而成的假莖，沒有木質化，因此植物學上香蕉屬於草本植物，甚至被稱為世界上最大的草本植物之一。,,原來我們每天吃的香蕉，長在全世界最大的一株「草」上。,植物學常識（芭蕉科Musa屬特徵）,上架
K04,知識,🧪 自然與科學冷知識,4,考古學家曾在古埃及墓穴中發現的蜂蜜有什麼特點？,,依然可以食用,早已完全腐敗發臭,已經變成石頭,只剩容器沒有內容物,A,C,蜂蜜幾乎不會真正腐敗,蜂蜜含水量低、滲透壓極高，細菌難以存活，考古學家曾在古埃及墓穴中發現保存良好、依然可食用的蜂蜜，是少數幾乎不會腐敗的天然食物之一。,,蜂蜜界的座右銘大概是：只要密封好，我可以陪你到下輩子。,考古學與食品保存學公開報導,上架
K05,知識,🧪 自然與科學冷知識,5,北極熊的皮膚實際上是什麼顏色？,,白色,黑色,粉紅色,透明,B,D,北極熊皮膚其實是黑色,北極熊的毛其實是透明、中空的管狀結構，反射光線後看起來是白色，而牠們的皮膚其實是黑色的，有助於吸收陽光保暖。,,牠們穿的其實是一整套天然的透明保暖外套，裡面藏著一身黑。,動物學常識（北極熊毛髮結構）,上架
K06,知識,📜 歷史的巧合,1,美國前總統亞當斯與傑佛遜，兩人在哪一天同一天去世？,,美國國慶日當天,感恩節當天,獨立宣言簽署滿50週年當天,兩人生日當天,C,D,兩位前總統同在獨立宣言50週年紀念日去世,約翰．亞當斯與湯瑪斯．傑佛遜這兩位美國前總統，都在1826年7月4日──美國獨立宣言簽署滿50週年當天──去世，是美國歷史上被廣泛記載的著名巧合。,,連死亡時間都要卡點卡在國家紀念日上，也太有歷史感了。,美國國會圖書館等公開歷史記載,上架
K07,知識,📜 歷史的巧合,2,日本偷襲珍珠港被稱為「背信偷襲」，其中一個常被提及的關鍵原因是什麼？,,日本從未正式宣戰過,美國事先收到警告卻不理會,珍珠港當時沒有駐軍,宣戰書因故延誤在轟炸後才送達,D,C,宣戰通知延誤送達，加深了偷襲的爭議,依史料記載，日本原本計畫在攻擊前遞交宣戰通知，但因翻譯與傳遞作業延誤，通知在轟炸開始後才送達美方，這也是珍珠港事件長期被稱為背信偷襲的原因之一，細節在歷史學界仍有討論。,,差那幾十分鐘，就從「宣戰」變成「偷襲」，歷史有時候就卡在小細節。,珍珠港事件宣戰書延誤送達；公開二戰外交史記載（細節仍有版本差異）,上架
K08,知識,📜 歷史的巧合,3,甘地一生獲得多少次諾貝爾和平獎？,,從未獲獎,1次,2次,3次,A,D,甘地從未獲得諾貝爾和平獎,甘地曾多次被提名諾貝爾和平獎（1937年至1948年間共5次），但始終沒有獲獎，他去世那年委員會甚至討論過追授，最終仍決定不追授給已故者。,,史上最著名的和平運動者之一，獎座名單上卻始終沒有他的名字。,諾貝爾獎官方網站公開紀錄,上架
K09,知識,📜 歷史的巧合,4,鐵達尼號沉沒的14年前，有一本小說情節與它高度相似，這本小說在講什麼？,,鐵達尼工廠發生火災,巨輪撞冰山沉沒,船長的復仇故事,海底戰爭故事,B,D,小說情節與鐵達尼號沉沒驚人相似,美國作家Morgan Robertson於1898年出版小說《The Wreck of the Titan》，描述一艘巨輪撞上冰山沉沒，與14年後鐵達尼號的真實沉沒事件有諸多相似之處，常被視為著名的歷史巧合。,,小說家可能沒想過，自己寫的故事會變成十幾年後的頭條新聞。,"文學史公開文獻（Morgan Robertson, 1898）",上架
K10,知識,📜 歷史的巧合,5,聯合國憲章在1945年6月26日簽署，但聯合國正式生效成立的「聯合國日」是哪一天？,,同年6月26日,次年1月1日,同年10月24日,同年7月4日,C,D,聯合國憲章簽署日與正式生效日並非同一天,聯合國憲章於1945年6月26日在舊金山簽署，但要等到多數會員國完成國內批准程序，憲章才在同年10月24日正式生效，這天也被訂為「聯合國日」。,,簽名跟正式上任，中間還隔了四個月的行政程序，跟辦入籍手續有點像。,聯合國官方網站公開資料,上架
K11,知識,🔤 語言與文字,1,中文的「囧」字，原本的意思是什麼？,,尷尬的表情,一種古代刑罰,沒有意義的裝飾字,窗戶明亮,D,C,「囧」原本的意思是窗戶明亮,「囧」字本義是形容窗戶明亮、光線充足，是個古老的象形字，直到網路時代才被網友重新詮釋成一張尷尬苦笑的臉，意思與原本完全無關。,,一個形容明亮窗戶的字，被大家玩成了臉部表情包始祖。,漢語字典字源常識（說文解字系統）,上架
K12,知識,🔤 語言與文字,2,我們熟悉的「阿拉伯數字」，最早其實是哪裡的人發明的？,,古印度,古埃及,古希臘,古羅馬,A,D,阿拉伯數字其實源自古印度,現在通用的0到9數字系統最早由古印度人發明，後來經由阿拉伯商人與學者傳入歐洲，歐洲人因此把它稱為「阿拉伯數字」，其實跟阿拉伯人的原創關係不大。,,阿拉伯數字表示不服：這鍋我們只是幫忙背的。,數學史一般常識,上架
K13,知識,🔤 語言與文字,3,英文「quarantine」（隔離檢疫）一詞，最初源自哪個語言、原意是什麼？,,拉丁文，意思是清潔,義大利文，意思是四十天,法文，意思是隔開,希臘文，意思是疾病,B,D,quarantine源自四十天,中世紀威尼斯規定入港船隻須在港外停泊40天以防瘟疫傳播，義大利文「quaranta giorni」即「四十天」，後演變成英文「quarantine」，成為現代隔離檢疫的用語。,,原來「隔離」這個字，從一開始就跟數字40綁在一起。,語言學詞源常識,上架
K14,知識,🔤 語言與文字,4,台語常用詞「鴨霸」，一般認為最早可能是哪種語言的音譯外來詞？,,荷蘭語，指農場主人,原住民語，指首領,日語，指撒野橫行霸道,純粹的中文擬聲詞,C,A,鴨霸一詞常被認為是日語音譯而來,台語「鴨霸」（iap-pa）常被認為音譯自日語「暴れる（あばれる）」，意思是撒野、橫行霸道，不過台語詞源研究對此仍有不同說法，並非完全定論。,,講「鴨霸」的時候，其實可能在不知不覺間講了一句日語外來語。,待審原因：台語詞源研究對「鴨霸」的來源存在不同學術意見，非單一定論，tw-legal-rag亦無法查證語言學考據，建議查核台語辭典及語言學專書,待審
K15,知識,🔤 語言與文字,5,「癌」這個字在台灣，是到什麼時候才被官方統一規定讀作「ái」而不是「yán」？,,清朝科舉時期,日本殖民時期,從未讀作yán過,二十世紀後期經統一讀音,D,C,癌字讀音經教育部於二十世紀後期正式統一,「癌」字傳統上與「炎」同音，長期在口語中被讀作「yán」，容易與發炎混淆，教育部後來透過國語一字多音審訂工作，正式將「癌」的讀音統一規定為「ái」。,,原來連怎麼唸一個字，都需要開會討論、正式公告才能定案。,待審原因：教育部國語一字多音審訂表歷次修訂之具體年代非tw-legal-rag可查證範圍，建議查核教育部國語會官方沿革資料,待審
K16,知識,🗺️ 世界文化,1,荷蘭的正式國名其實是什麼，而不是常聽到的「Holland」？,,Netherlands，尼德蘭,Denmark，丹麥,Flanders，法蘭德斯,Batavia，巴達維亞,A,B,荷蘭正式國名是尼德蘭,「Holland」原本只是荷蘭境內南、北荷蘭兩省的名稱，荷蘭正式國名其實是「Netherlands」（尼德蘭），荷蘭政府自2020年起更主動要求國際場合停用Holland作為國名。,,原來我們常說的荷蘭，一直在幫兩個省份打知名度。,荷蘭政府公開國名宣導資訊,上架
K17,知識,🗺️ 世界文化,2,芬蘭法律明文保障的「國民閒逛權」讓民眾可以做什麼？,,免費搭乘公共交通,森林自由通行採果露營,進入私人住宅參觀,任何土地打獵不受限,B,C,芬蘭森林可自由通行採果,芬蘭的「國民閒逛權」（Jokamiehenoikeus）是北歐特有的習慣性權利，允許任何人在他人私有的森林、荒野土地上自由通行、採摘野果與菇類，並可短暫露營，無需事先取得地主同意。,,在芬蘭，走進別人家後面的森林撿野果，是被祝福的行為，不是入侵。,芬蘭官方旅遊與環境部門公開資訊,上架
K18,知識,🗺️ 世界文化,3,梵蒂岡作為獨立主權國家，有一項在國際上相當罕見的特徵是什麼？,,沒有自己的貨幣,沒有自己的國旗,沒有自己的機場,沒有自己的軍隊,C,B,梵蒂岡是沒有自己機場的國家之一,梵蒂岡是世界上面積最小的主權國家，境內沒有自己的機場，對外交通仰賴義大利的機場與鐵路系統，這在主權國家中相當罕見。,,全世界最小的國家，出國竟然還要先靠鄰居載一程。,一般世界地理常識（梵蒂岡城國）,上架
K19,知識,🗺️ 世界文化,4,冰島的電話簿是依照什麼方式排序的？,,依姓氏字母順序,依職業分類,依居住城市分類,依名字字母順序,D,B,冰島電話簿依名字字母順序排列,冰島人普遍沒有固定家族姓氏，而是採用「父名／母名之子或女」的命名方式，因此冰島電話簿是依照人的「名字」而非「姓氏」字母順序排列，跟大多數國家不同。,,在冰島找人，重點不是姓什麼，是名字第一個字母排到哪一頁。,一般世界文化常識（冰島命名制度）,上架
K20,知識,🗺️ 世界文化,5,不丹在2008年的新憲法中，明文將什麼指標列為國家施政的核心目標？,,國民幸福總值GNH,國內生產總值GDP,人類發展指數HDI,碳排放淨零目標,A,D,不丹憲法明文以國民幸福總值為施政核心,"不丹2008年制定的新憲法中，明文將「國民幸福總值」（Gross National Happiness, GNH）列為國家發展的核心指標，是少數在憲法層級以幸福感取代GDP作為施政目標的國家。",,別的國家比誰的經濟成長率高，不丹比的是誰的人民比較幸福。,不丹王國2008年憲法公開文本,上架
K21,知識,🔢 數字的秘密,1,為什麼西元1900年不是閏年，但西元2000年是閏年？,,因為當年剛好戰爭爆發,逢百年份要被400整除才是閏年,那是曆法計算的隨機誤差,那兩年教皇規定不同,B,A,逢百年份需被400整除才算閏年,現行格里高利曆規定，能被4整除的年份是閏年，但逢百年份必須同時能被400整除才算閏年，1900不能被400整除所以不是閏年，2000可以被400整除所以是閏年。,,閏年規則比想像中囉唆，連曆法都懂得要抓漏洞。,格里高利曆一般天文與曆法常識,上架
K22,知識,🔢 數字的秘密,2,「人體正常體溫是37°C」這個數字，最早是怎麼來的？,,現代精密儀器最新測量結果,世衛近年制定的國際標準,德國醫生測病人取平均值,一開始就隨機定的整數,C,D,37度源自德國醫生統計,19世紀德國醫生Carl Wunderlich對大量病人進行體溫測量並取平均值，得出37°C這個標準，但現代研究顯示人類平均體溫其實更接近36.6°C左右，且因人而異。,,一個世紀前的平均值，被大家背成了鐵律，其實體溫本來就人人不同。,醫學史公開文獻（Carl Wunderlich體溫研究）,上架
K23,知識,🔢 數字的秘密,3,《聖經．啟示錄》著名的「獸的數字」通常認為是666，但部分早期古抄本記載的其實是哪個數字？,,660,606,999,616,D,C,部分古抄本記載的獸數字其實是616,學者曾在早期紙草抄本殘片中發現，部分版本記載的「獸的數字」是616而非666，這項發現曾登上國際新聞，學界對此仍有不同解讀與討論。,,連經典中的「魔鬼數字」都有不同版本，看來抄書的人也會手滑。,學術考據公開報導（古抄本殘片研究）,上架
K24,知識,🔢 數字的秘密,4,國際單位制中，「1公斤」的定義在2019年之前是由什麼東西決定的？,,巴黎的一塊金屬圓柱實體原器,特定溫度下水的體積,地球重力加速度換算,一直用物理常數定義,A,D,公斤舊定義依賴巴黎的實體金屬原器,2019年之前，「1公斤」的定義依賴存放在巴黎的一塊白金銦合金圓柱體「國際公斤原器」，2019年之後改用普朗克常數重新定義，不再依賴任何實體物件。,,原來全世界的「一公斤」，曾經都要看巴黎那塊金屬的臉色。,國際度量衡標準公開資料（公斤定義變革）,上架
K25,知識,🔢 數字的秘密,5,背出π小數點後大約幾位，理論上就能算出可觀測宇宙的圓周長，誤差小於一個原子？,,10位,大約39到40位左右,1000位,100萬位,B,C,背出π約39到40位就能精算宇宙圓周長,科學家曾指出，只要知道π小數點後大約39到40位，就足以精確計算出以可觀測宇宙大小為半徑的圓周長，誤差會小於一個氫原子的大小，但不同來源給出的確切位數略有差異。,,背π背到第40位就能算宇宙有多大，比背到第1萬位划算多了。,π背誦39-40位可精算可觀測宇宙圓周長；Numberphile（James Grime）公開科普報導,上架
K26,知識,🔤 語言與文字,4,我們常說的「幽默」一詞，其實是誰把英文『humor』音譯過來的？,,魯迅,胡適,林語堂,梁實秋,C,D,幽默由林語堂音譯創造,1924年林語堂在《晨報》副刊首度把英文humor音譯成「幽默」，比意譯更留住原詞的聲音與韻味，從此成為中文固定用法。,「幽默」兩字原出自屈原《九章》，原意是安靜幽深，跟好笑完全無關。,如果林語堂當年選了別的音譯，我們現在可能得說『這個人很有語妙感』。,維基百科「幽默」條目：https://zh.wikipedia.org/zh-tw/幽默,上架
K27,知識,🔤 語言與文字,5,logic雖被音譯為「邏輯」，但孫中山主張的中文意譯詞其實是什麼？,,論理學,名學,辯證學,理則學,D,B,孫中山主張意譯為理則學,logic中文除音譯「邏輯」外，嚴復譯作「名學」、梁啟超倡「論理學」，孫中山則主張「理則學」，多種譯法並存後音譯「邏輯」才成為主流用法。,邏輯一詞1917年由章士釙提出，之後才逐漸普及使用。,光一個logic就有四種中文譯名搶著卡位，最後音譯版靠著好記險勝。,國家教育研究院教育百科「邏輯」條目：https://pedia.cloud.edu.tw/Entry/Detail/?title=邏輯,上架
